agent,group,model,AS_fit,DB_fit,SG_fit,Unnamed: 0,VS_fit,fit_AS,fit_ASG,fit_DB,fit_SG,fit_VS,id,r2,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
1,0,AS,311.8382753950291,317.79572845117724,311.4646632177436,240,349.82744369122184,311.8382753950291,311.5021675189533,317.79572845117724,311.4646632177436,349.8274436912218,0,0.41943454586784956,1.3379424355511524,0.035356070551089504,0.07134181293977616,,,
1,0,DB,311.8382753950291,317.79572845117724,311.4646632177436,240,349.82744369122184,311.8382753950291,311.5021675189533,317.79572845117724,311.4646632177436,349.8274436912218,0,0.40834324723033544,1.350738276486714,0.03588945927183742,0.07348991618050471,0.21428570000000002,,
1,0,VS,311.8382753950291,317.79572845117724,311.4646632177436,240,349.82744369122184,311.8382753950291,311.5021675189533,317.79572845117724,311.4646632177436,349.8274436912218,0,0.34870814540901285,1.3428763312648262,0.006737946999085468,0.10321410943419426,0.116,,
1,0,SG,311.8382753950291,317.79572845117724,311.4646632177436,240,349.82744369122184,311.8382753950291,311.5021675189533,317.79572845117724,311.4646632177436,349.8274436912218,0,0.4201301189917719,1.317131980347632,0.030235690287731664,0.07015866349134435,18.999999999999996,,
1,0,ASG,311.8382753950291,317.79572845117724,311.4646632177436,240,349.82744369122184,311.8382753950291,311.5021675189533,317.79572845117724,311.4646632177436,349.8274436912218,0,0.42006029529345856,1.316659457984547,0.030393996236132877,0.07011419266895363,,18.999999999999996,0.07364568799603295
4,0,AS,219.11522829881056,231.3521447092353,221.86565702910195,6960,264.58229474895245,192.90199939108055,191.8008455300322,207.310456873327,192.6410324724116,245.2307773624387,1,0.6408643655509784,1.0467100916733154,0.006737946999085468,0.0639624193438228,,,
4,0,DB,219.11522829881056,231.3521447092353,221.86565702910195,6960,264.58229474895245,192.90199939108055,191.8008455300322,207.310456873327,192.6410324724116,245.2307773624387,1,0.61403939465564,1.0681255091680306,0.006970797327479589,0.06641213662821267,0.21434707590430513,,
4,0,VS,219.11522829881056,231.3521447092353,221.86565702910195,6960,264.58229474895245,192.90199939108055,191.8008455300322,207.310456873327,192.6410324724116,245.2307773624387,1,0.5434411717219432,0.8739567877661361,0.006737946999085468,0.07796933055433597,0.116,,
4,0,SG,219.11522829881056,231.3521447092353,221.86565702910195,6960,264.58229474895245,192.90199939108055,191.8008455300322,207.310456873327,192.6410324724116,245.2307773624387,1,0.6413502211678316,1.0408458589192906,0.006737946999085468,0.06312432680915207,18.999999999999996,,
4,0,ASG,219.11522829881056,231.3521447092353,221.86565702910195,6960,264.58229474895245,192.90199939108055,191.8008455300322,207.310456873327,192.6410324724116,245.2307773624387,1,0.6429144406759741,1.0408939138237987,0.006737946999085468,0.06312031275034108,,18.999999999999996,0.029040856009684278
2,0,AS,192.90199939108052,207.310456873327,192.6410324724116,20400,245.2307773624387,318.5369375614787,319.4371117053543,318.9207984717332,319.43484824687107,353.9799678331449,2,0.406963299874021,0.7474633944025421,0.08647236872231288,0.0407356755281955,,,
2,0,DB,192.90199939108052,207.310456873327,192.6410324724116,20400,245.2307773624387,318.5369375614787,319.4371117053543,318.9207984717332,319.43484824687107,353.9799678331449,2,0.4062486461535848,0.7655415408290965,0.08019429659715763,0.04323074426379317,0.21428570000000002,,
2,0,VS,192.90199939108052,207.310456873327,192.6410324724116,20400,245.2307773624387,318.5369375614787,319.4371117053543,318.9207984717332,319.43484824687107,353.9799678331449,2,0.3409771763315437,0.6491622736302893,0.006737946999085468,0.06597035672129638,0.116,,
2,0,SG,192.90199939108052,207.310456873327,192.6410324724116,20400,245.2307773624387,318.5369375614787,319.4371117053543,318.9207984717332,319.43484824687107,353.9799678331449,2,0.4052916130864559,0.7514641945749555,0.054287438302404005,0.0452989570568554,18.986745264443513,,
2,0,ASG,192.90199939108052,207.310456873327,192.6410324724116,20400,245.2307773624387,318.5369375614787,319.4371117053543,318.9207984717332,319.43484824687107,353.9799678331449,2,0.4052873990886695,0.7510700108305938,0.056086317274682336,0.04497242447659544,,18.91600997467137,0.013454513929730233
3,0,AS,318.5369375614787,318.9207984717332,319.43484824687107,21360,353.97996783314494,219.11522829881054,221.8735571074334,231.35214470923532,221.86565702910195,264.5822947489525,3,0.5920618408262381,1.072346055728777,0.006737946999085468,0.07773343861870968,,,
3,0,DB,318.5369375614787,318.9207984717332,319.43484824687107,21360,353.97996783314494,219.11522829881054,221.8735571074334,231.35214470923532,221.86565702910195,264.5822947489525,3,0.569279740315979,1.0854732766517368,0.006741748273052638,0.0776155167470145,0.21428570000000002,,
3,0,VS,318.5369375614787,318.9207984717332,319.43484824687107,21360,353.97996783314494,219.11522829881054,221.8735571074334,231.35214470923532,221.86565702910195,264.5822947489525,3,0.5074134504121853,1.0159607516159692,0.006737946999085468,0.09801821827436662,0.116,,
3,0,SG,318.5369375614787,318.9207984717332,319.43484824687107,21360,353.97996783314494,219.11522829881054,221.8735571074334,231.35214470923532,221.86565702910195,264.5822947489525,3,0.5869412253314373,1.0369516058318582,0.006737946999085468,0.07668335545904996,18.999999999999996,,
3,0,ASG,318.5369375614787,318.9207984717332,319.43484824687107,21360,353.97996783314494,219.11522829881054,221.8735571074334,231.35214470923532,221.86565702910195,264.5822947489525,3,0.5869265173467989,1.036880072347268,0.006737946999085468,0.0766808282935649,,18.999999999999996,0.020242014545857268
3,1,AS,356.25852816439357,360.6046205793006,358.8909168861297,6000,361.4980943349171,384.69480610508003,387.4874882623687,396.2188548260133,384.98282331929954,387.1036765904811,4,0.21072202792279854,0.9962222028748513,0.38506527899152343,0.04096113020648069,,,
3,1,DB,356.25852816439357,360.6046205793006,358.8909168861297,6000,361.4980943349171,384.69480610508003,387.4874882623687,396.2188548260133,384.98282331929954,387.1036765904811,4,0.18878339023696566,1.0114679761561534,0.3828213882925699,0.04200980430279603,0.21428570000000002,,
3,1,VS,356.25852816439357,360.6046205793006,358.8909168861297,6000,361.4980943349171,384.69480610508003,387.4874882623687,396.2188548260133,384.98282331929954,387.1036765904811,4,0.21257968938583666,0.9903969281428279,0.379523885853733,0.04274868131444295,0.116,,
3,1,SG,356.25852816439357,360.6046205793006,358.8909168861297,6000,361.4980943349171,384.69480610508003,387.4874882623687,396.2188548260133,384.98282331929954,387.1036765904811,4,0.21015891286838134,0.9762260951147721,0.38933489887015954,0.04164624535696289,18.999999999999996,,
3,1,ASG,356.25852816439357,360.6046205793006,358.8909168861297,6000,361.4980943349171,384.69480610508003,387.4874882623687,396.2188548260133,384.98282331929954,387.1036765904811,4,0.20549607498203548,0.9762055311498676,0.3893385315914656,0.041647820946227446,,18.999999999999996,0.016013722503262596
4,1,AS,434.74084208617745,429.8945684047564,436.2456329052498,24480,436.2228716893049,396.4660732307614,408.7938551584996,392.791943166644,395.3732385435702,429.780661223932,5,0.2618785953660499,1.1383008780215123,0.2196651893291838,0.0798708319866264,,,
4,1,DB,434.74084208617745,429.8945684047564,436.2456329052498,24480,436.2228716893049,396.4660732307614,408.7938551584996,392.791943166644,395.3732385435702,429.780661223932,5,0.2687189134332044,1.3706092294366288,0.13662310446303977,0.09573809733906648,0.24585993298032197,,
4,1,VS,434.74084208617745,429.8945684047564,436.2456329052498,24480,436.2228716893049,396.4660732307614,408.7938551584996,392.791943166644,395.3732385435702,429.780661223932,5,0.19985510295486508,1.3206650183231698,0.14476230138795987,0.09438691289763365,0.116,,
4,1,SG,434.74084208617745,429.8945684047564,436.2456329052498,24480,436.2228716893049,396.4660732307614,408.7938551584996,392.791943166644,395.3732385435702,429.780661223932,5,0.2639131822545799,1.4012137650472303,0.11646332501992193,0.10174192613055495,18.999999999999996,,
4,1,ASG,434.74084208617745,429.8945684047564,436.2456329052498,24480,436.2228716893049,396.4660732307614,408.7938551584996,392.791943166644,395.3732385435702,429.780661223932,5,0.23892732582015158,1.0985900183138924,0.21586148579868833,0.08073411589510021,,18.999999999999996,0.055467106364154264
2,1,AS,396.4660732307615,392.79194316664393,395.3732385435702,25680,429.780661223932,356.25852816439357,358.89424181320993,360.60462057930056,358.89091688612973,361.498094334917,6,0.33673506265321757,0.6571678710705766,0.4486837951413227,0.025535671079694643,,,
2,1,DB,396.4660732307615,392.79194316664393,395.3732385435702,25680,429.780661223932,356.25852816439357,358.89424181320993,360.60462057930056,358.89091688612973,361.498094334917,6,0.32864371750527355,0.4427776671401457,0.5110658346913032,0.01344746297616931,0.21428570000000002,,
2,1,VS,396.4660732307615,392.79194316664393,395.3732385435702,25680,429.780661223932,356.25852816439357,358.89424181320993,360.60462057930056,358.89091688612973,361.498094334917,6,0.326980291179472,1.1649599180575911,0.2724657644336157,0.06360968555999535,0.116,,
2,1,SG,396.4660732307615,392.79194316664393,395.3732385435702,25680,429.780661223932,356.25852816439357,358.89424181320993,360.60462057930056,358.89091688612973,361.498094334917,6,0.3318342083506111,0.8955664018325088,0.36783933529348833,0.04480991023447163,18.999999999999996,,
2,1,ASG,396.4660732307615,392.79194316664393,395.3732385435702,25680,429.780661223932,356.25852816439357,358.89424181320993,360.60462057930056,358.89091688612973,361.498094334917,6,0.3318280181618095,1.0603958095934007,0.33631742600651293,0.05347422634414474,,18.999999999999996,0.0562624472944923
1,1,AS,384.69480610508015,396.2188548260133,384.9828233192996,27120,387.10367659048114,434.7408420861774,430.8409521456192,429.89456840475646,436.24563290524975,436.2228716893049,7,0.1906204775670125,1.0058148662483641,0.33802667107577733,0.05406409296397706,,,
1,1,DB,384.69480610508015,396.2188548260133,384.9828233192996,27120,387.10367659048114,434.7408420861774,430.8409521456192,429.89456840475646,436.24563290524975,436.2228716893049,7,0.1996430360619203,1.2072850153902985,0.2879812732583042,0.06269118974404517,0.21428570000000002,,
1,1,VS,384.69480610508015,396.2188548260133,384.9828233192996,27120,387.10367659048114,434.7408420861774,430.8409521456192,429.89456840475646,436.24563290524975,436.2228716893049,7,0.18786130636364734,1.2948399468738852,0.2475255553339188,0.06645822419952573,0.116,,
1,1,SG,384.69480610508015,396.2188548260133,384.9828233192996,27120,387.10367659048114,434.7408420861774,430.8409521456192,429.89456840475646,436.24563290524975,436.2228716893049,7,0.18781893063008834,1.124325730441475,0.3077859653877664,0.060405062938343995,18.999999999999996,,
1,1,ASG,384.69480610508015,396.2188548260133,384.9828233192996,27120,387.10367659048114,434.7408420861774,430.8409521456192,429.89456840475646,436.24563290524975,436.2228716893049,7,0.19788110447863,1.1637450576409312,0.3049171520101676,0.0611980311616841,,18.989198553663844,0.009551371843112909
4,2,AS,360.800725721654,361.7347376716395,371.15784480017305,4320,396.396680507481,379.82520651927746,383.07109555689794,392.5299317522451,382.2012927182211,382.56764757365767,8,0.2928597580448994,0.527957514228315,0.45989910237260107,0.015990678810186502,,,
