group,n_agents,avg_group_volatility,avg_solo_volatility,volatility_reduction,flatness_factor
0,4,0.0671,0.048,28.472,1.3981
1,4,0.0233,0.0354,-52.096,0.6575
2,4,0.0073,0.0125,-70.3276,0.5871
4,4,0.0365,0.0378,-3.3835,0.9673
6,4,0.0294,0.0077,73.97,3.8417
8,4,0.0329,0.0286,13.108,1.1509
16,4,0.0389,0.031,20.2501,1.2539
19,4,0.0433,0.0386,10.9133,1.1225
23,4,0.0568,0.0555,2.3351,1.0239
25,4,0.0582,0.024,58.7306,2.4231
26,4,0.0205,0.0479,-133.3929,0.4285
28,4,0.0519,0.0277,46.6545,1.8746
29,4,0.0267,0.0281,-5.2686,0.95
30,4,0.028,0.0319,-14.0553,0.8768
32,4,0.022,0.0445,-102.8303,0.493
34,4,0.0215,0.0218,-1.314,0.987
35,4,0.0361,0.0178,50.555,2.0224
36,4,0.0246,0.0232,5.6493,1.0599
37,4,0.0321,0.0287,10.6184,1.1188
38,4,0.0339,0.0204,39.8585,1.6627
39,4,0.0588,0.0495,15.8763,1.1887
41,4,0.0799,0.0437,45.3447,1.8296
42,4,0.0793,0.0354,55.4391,2.2441
43,4,0.0412,0.0288,30.207,1.4328
45,4,0.0289,0.0263,9.0608,1.0996
48,4,0.0385,0.0535,-39.0158,0.7193
50,4,0.0135,0.033,-144.9336,0.4083
51,4,0.1339,0.0398,70.3132,3.3685
52,4,0.0539,0.082,-52.1179,0.6574
54,4,0.036,0.0209,41.8483,1.7196
55,4,0.0815,0.0507,37.733,1.606
58,4,0.0654,0.0215,67.1879,3.0477
61,4,0.044,0.0182,58.6206,2.4167
SEPARATOR,---,,,,
OVERALL_SUMMARY,132,0.0438,0.0338,5.273,1.4436
RANGE_STATISTICS,Total: 132,,,,
