group,n_agents,agents_more_trusting,mean_trust_change,mean_trust_volatility
0,4,4,-0.10490157561287905,0.05501626187961069
1,4,4,-0.11683175644622157,0.04239301066138658
2,4,4,-0.03213005784088008,0.014031204320810703
4,4,4,-0.1145969131231972,0.04069890061876057
6,4,4,-0.020182665619198126,0.009376314788023726
8,4,4,-0.10305102596269489,0.035485303518903596
16,4,4,-0.10847472134700453,0.03312462165238083
19,4,4,-0.0928147766690608,0.043203973039526215
23,4,4,-0.20755163253019981,0.06543320331780825
25,4,4,-0.06778424410509132,0.02627756156793975
26,4,4,-0.14600097922477495,0.05921792233197991
28,4,4,-0.09349632642976147,0.03146096297690332
29,4,4,-0.04494866643877993,0.035343601105143785
30,4,4,-0.07762253069531155,0.03645640906915503
32,4,4,-0.14882908078542822,0.05216781048538781
34,4,4,-0.04421095303384526,0.0251094692182748
35,4,4,-0.045574198396026055,0.020696629558766506
36,4,4,-0.08240373313650862,0.025905564937170923
37,4,4,-0.07921070679313313,0.035044056456366886
38,4,4,-0.07338048836145639,0.022464288224440847
39,4,4,-0.1514890165524081,0.057342422350280906
41,4,4,-0.14129119095102194,0.049002499853503134
42,4,4,-0.059118889486413195,0.04121059100623163
43,4,4,-0.04753161740538836,0.039373453418268554
45,4,4,-0.048778621269593536,0.03457807630532617
48,4,4,-0.14993407769590483,0.061189687946114964
50,4,4,-0.09663462818188329,0.041189137661409185
51,4,4,-0.12384043462338923,0.04599833578480668
52,4,4,-0.13838067684284194,0.09614703196398121
54,4,4,-0.057134580478978236,0.023608196358703645
55,4,4,-0.15359517824048563,0.056900974863688225
58,4,4,-0.054454676783552536,0.024695641848611914
61,4,4,-0.05329912513397428,0.01959505948945023
